image_path,emotion_class,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S010_004_00000019.png,anger,0.305341244,0.111024275,0.774244428,0.235994145,0.114007056,0,0.42720437,0.011345197,1,0.032462966,0.252305925,0.443433911,0.591957569,0,0.486582607,0.447435468,0.00506165,0.123228073,0.290481836,0.658306003
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S011_004_00000021.png,anger,0.410412699,0.049372267,0.567212403,0.263178498,0.070896335,0,0.200581908,4.97E-05,0,0.01197695,0.243348941,0.155853465,0.601340711,0,0.48207587,0.350582391,0.002978663,0.021885503,0.756727993,0.149469346
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S014_003_00000030.png,anger,0.495457232,0.126502275,0.639733315,0.226856381,0.148075715,0,0.572053671,0.021714224,1,0.039054673,0.449422032,0.482744068,0.610025585,0,0.615954041,0.429905832,0.001002777,0.078457765,0.208640113,0.149787366
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S022_005_00000032.png,anger,0.367992103,0.069755793,0.186827511,0.327858359,0.09380056,0,0.162881389,0.001403847,1,0.023550998,0.212177902,0.760874212,0.63489908,0,0.579454839,0.427951127,0.062808573,0.1117948,0.427864343,0.020686256
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S026_003_00000015.png,anger,0.352316201,0.208683535,0.855926514,0.275487334,0.222181022,0,0.642083704,0.026702968,1,0.044042856,0.281772345,0.256666422,0.614215732,0,0.329868942,0.586028755,0.005812758,0.051901929,0.136743665,0.153438821
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S028_001_00000024.png,anger,0.247913748,0.1895037,0.648627698,0.253502607,0.513690412,0,0.590183556,0.007739291,1,0.319325328,0.765864313,0.324362546,0.644319952,0,0.58478421,0.846946418,0.006539119,0.059292164,0.224345297,0.262355
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S029_001_00000019.png,anger,0.227827877,0.109663174,0.955243707,0.267318815,0.148904383,1,0.709824085,0.009194511,0,0.026300617,0.123527206,0.261661947,0.50915736,0,0.192948237,0.243266568,0.132246763,0.122134104,0.13850756,0.601738811
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S032_003_00000017.png,anger,0.252034009,0.079882592,0.860850513,0.252423197,0.270310074,0,0.602267861,0.117153585,0,0.190959141,0.619914889,0.566201389,0.528846443,0,0.290085495,0.291608602,0.005636366,0.148036763,0.215032175,0.35086298
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S034_003_00000027.png,anger,0.388430774,0.066220917,0.871302724,0.246691257,0.161640525,1,0.672225535,0.006309211,0,0.045791831,0.106831625,0.783552051,0.740147889,0,0.390409976,0.793509662,0.018491019,0.075987667,0.177575514,0.827738047
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S037_003_00000022.png,anger,0.204539046,0.045114871,0.709380805,0.211849377,0.468452662,0,0.575053573,0.015741579,1,0.258990258,0.718358934,0.378137976,0.697855115,0,0.606868923,0.509026289,0.027721902,0.200603232,0.477256089,0.693330228
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S042_004_00000020.png,anger,0.191992491,0.054607783,0.80349791,0.207264334,0.340053946,0,0.700933456,0.017234974,0,0.163256139,0.655844092,0.392114013,0.646523118,0,0.645502746,0.575438857,0.14936623,0.220390052,0.593589246,0.791667759
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S045_005_00000030.png,anger,0.492290467,0.071633033,0.925202727,0.269419909,0.102912731,0,0.566713035,0.00064968,1,0.020714855,0.141122624,0.197570905,0.536712408,0,0.213325515,0.407009304,0.080101185,0.153264135,0.451398522,0.254515469
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S050_004_00000021.png,anger,0.179517254,0.060248826,0.855732143,0.344120979,0.122714236,0,0.123232618,0.033080939,1,0.033055618,0.23392801,0.371010482,0.674654722,0,0.37815243,0.387511432,0.014120329,0.180615216,0.573465466,0.036389556
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S055_004_00000028.png,anger,0.342830539,0.138464063,0.697262585,0.511164904,0.21896717,1,0.198666826,0.00412437,0,0.094675943,0.266191244,0.329782277,0.740409315,0,0.187140837,0.440967232,0.020672254,0.076184578,0.067154497,0.032446254
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S058_005_00000010.png,anger,0.198908478,0.075235568,0.676136971,0.222151503,0.516840935,0,0.336672574,0.829348922,1,0.879378676,0.45249179,0.55758065,0.642739773,0,0.453524172,0.817112148,0.022153771,0.105684027,0.194108054,0.048247639
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S066_005_00000011.png,anger,0.396594554,0.062587336,0.74223578,0.327107549,0.104168423,0,0.081301644,0.002097348,0,0.030521488,0.143655732,0.551041365,0.637585998,0,0.161139652,0.510519981,0.013262413,0.036484219,0.099359341,0.03496287
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S067_004_00000023.png,anger,0.602411926,0.119037785,0.82805723,0.475516945,0.203709796,0,0.110024251,0.01187651,0,0.153771415,0.572975218,0.176336795,0.606882513,1,0.751105785,0.413476795,0.976655006,0.8179003,0.840946198,0.02454425
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S071_004_00000028.png,anger,0.421502501,0.062686294,0.882205307,0.251110971,0.140567735,0,0.408029884,0.016089343,0,0.038607534,0.229066983,0.428491354,0.646717608,0,0.272785246,0.37743625,0.002083711,0.062104914,0.571215987,0.170535281
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S072_005_00000019.png,anger,0.298965216,0.083802514,0.769363582,0.312514544,0.13437815,0,0.178654566,0.000728266,1,0.032081008,0.382777154,0.232486486,0.631503642,0,0.293440014,0.751771033,0.028195713,0.135323495,0.272803813,0.033026382
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S075_008_00000012.png,anger,0.20273982,0.117022261,0.26510036,0.333246171,0.352582812,0,0.167121828,0.198886663,0,0.493225992,0.402192354,0.477487147,0.648830831,0,0.509375274,0.450474977,0.01609412,0.162318379,0.125368685,0.030967049
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S082_005_00000017.png,anger,0.172969401,0.050083634,0.219498277,0.34122017,0.157358259,0,0.118738905,0.00020179,0,0.052682243,0.160624266,0.328298599,0.543200731,0,0.462493092,0.462492734,0.33247748,0.068648212,0.195817739,0.037274919
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S087_007_00000016.png,anger,0.329464883,0.101849027,0.606663764,0.219861776,0.145341188,1,0.22160694,0.006696913,1,0.039636046,0.229367301,0.294701219,0.4967044,0,0.427531391,0.454205304,0.021294193,0.14196001,0.040292617,0.426679999
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S089_003_00000036.png,anger,0.190190136,0.069162324,0.930039763,0.214795142,0.186860412,0,0.428080708,0.016020261,1,0.046053361,0.431429923,0.21275714,0.50155884,0,0.412043542,0.588997602,0.100180902,0.109731421,0.540073514,0.891518414
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S090_007_00000014.png,anger,0.444202334,0.117837958,0.850581586,0.228716806,0.317801118,0,0.281476229,0.046118993,0,0.136777431,0.154661044,0.579554141,0.692950606,0,0.699571967,0.396932721,0.00958965,0.15059334,0.658285439,0.44481954
